"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","03-Jan-2022","       1319.10","       1316.35","       1339.90","       1314.10","       1324.00","       1326.15","       1328.98","    2661272","          3536784044.25","     108928","    1392322","         52.32"
"HCLTECH","EQ","04-Jan-2022","       1326.15","       1329.50","       1336.70","       1307.25","       1335.50","       1333.45","       1324.18","    3367100","          4458636097.10","     115098","    1706702","         50.69"
"HCLTECH","EQ","05-Jan-2022","       1333.45","       1329.00","       1330.00","       1302.00","       1311.35","       1310.75","       1310.08","    3510253","          4598710306.10","     150826","    1887370","         53.77"
"HCLTECH","EQ","06-Jan-2022","       1310.75","       1290.00","       1297.80","       1277.00","       1286.90","       1284.90","       1284.53","    4409632","          5664290563.50","     126001","    2788037","         63.23"
"HCLTECH","EQ","07-Jan-2022","       1284.90","       1297.55","       1298.50","       1282.20","       1289.00","       1290.55","       1290.34","    3898684","          5030614404.50","     110043","    2491086","         63.90"
"HCLTECH","EQ","10-Jan-2022","       1290.55","       1304.85","       1304.85","       1280.00","       1290.00","       1288.10","       1289.91","    2529949","          3263415640.10","      87323","    1474383","         58.28"
"HCLTECH","EQ","11-Jan-2022","       1288.10","       1288.65","       1348.00","       1280.00","       1346.00","       1343.65","       1330.01","    6772189","          9007051760.90","     223289","    3182227","         46.99"
"HCLTECH","EQ","12-Jan-2022","       1343.65","       1354.00","       1357.10","       1331.40","       1348.45","       1352.15","       1347.69","    3162044","          4261441300.45","     133426","    1524503","         48.21"
"HCLTECH","EQ","13-Jan-2022","       1352.15","       1340.00","       1359.40","       1321.15","       1327.00","       1334.25","       1341.95","    4598005","          6170288792.45","     190827","    2014879","         43.82"
"HCLTECH","EQ","14-Jan-2022","       1334.25","       1320.00","       1342.95","       1293.00","       1330.00","       1337.20","       1317.46","    5636243","          7425547840.10","     175711","    2031569","         36.04"
"HCLTECH","EQ","17-Jan-2022","       1337.20","       1273.00","       1273.00","       1243.40","       1260.55","       1258.75","       1260.40","   11973283","         15091116271.70","     454426","    5247421","         43.83"
"HCLTECH","EQ","18-Jan-2022","       1258.75","       1269.95","       1269.95","       1217.00","       1220.10","       1219.75","       1238.78","    7799487","          9661874151.85","     312619","    4266208","         54.70"
"HCLTECH","EQ","19-Jan-2022","       1219.75","       1220.00","       1220.50","       1191.00","       1201.75","       1199.20","       1200.23","    8464215","         10158971743.65","     282454","    6033376","         71.28"
"HCLTECH","EQ","20-Jan-2022","       1199.20","       1200.00","       1201.40","       1170.00","       1175.00","       1175.35","       1179.30","    6172404","          7279122049.80","     254903","    3789927","         61.40"
"HCLTECH","EQ","21-Jan-2022","       1175.35","       1175.35","       1179.85","       1155.00","       1169.00","       1167.95","       1167.54","    5514748","          6438705407.80","     193527","    2966664","         53.80"
"HCLTECH","EQ","24-Jan-2022","       1167.95","       1162.50","       1164.50","       1111.00","       1122.80","       1124.90","       1134.94","    5878438","          6671700359.95","     247857","    1895506","         48.19"
"HCLTECH","EQ","25-Jan-2022","       1124.90","       1115.00","       1139.65","       1088.40","       1124.00","       1123.70","       1122.20","    4725254","          5302697120.40","     211750","    2411120","         51.03"
"HCLTECH","EQ","27-Jan-2022","       1123.70","       1115.00","       1115.95","       1070.20","       1079.55","       1077.75","       1083.76","    8304735","          9000375381.85","     311621","    5070305","         61.05"
"HCLTECH","EQ","28-Jan-2022","       1077.75","       1079.00","       1102.20","       1077.25","       1080.90","       1080.45","       1090.26","    7654724","          8345674347.05","     333051","    4680638","         61.15"
"HCLTECH","EQ","31-Jan-2022","       1080.45","       1100.65","       1113.95","       1092.85","       1099.70","       1099.40","       1101.30","    7572995","          8340115747.60","     166985","    4760907","         62.87"
"HCLTECH","EQ","01-Feb-2022","       1099.40","       1116.70","       1136.50","       1101.25","       1134.80","       1132.80","       1119.90","    6783774","          7597149269.15","     146913","    4309693","         63.53"
"HCLTECH","EQ","02-Feb-2022","       1132.80","       1142.90","       1173.85","       1133.30","       1172.50","       1170.95","       1161.55","    6982539","          8110564261.65","     148087","    4472371","         64.05"
"HCLTECH","EQ","03-Feb-2022","       1170.95","       1162.00","       1170.85","       1151.00","       1158.05","       1156.75","       1163.30","    4169794","          4850738858.35","      94552","    2386842","         57.24"
"HCLTECH","EQ","04-Feb-2022","       1156.75","       1160.00","       1167.10","       1137.35","       1163.50","       1163.80","       1159.13","    3625482","          4202410186.95","     108136","    1977007","         54.53"
"HCLTECH","EQ","07-Feb-2022","       1163.80","       1157.00","       1171.35","       1146.00","       1158.95","       1157.35","       1158.49","    3824483","          4430629495.05","     102739","    2329668","         60.91"
"HCLTECH","EQ","08-Feb-2022","       1157.35","       1158.95","       1169.85","       1148.55","       1161.90","       1161.95","       1159.92","    3267641","          3790188536.05","      98059","    2081413","         63.70"
"HCLTECH","EQ","09-Feb-2022","       1161.95","       1172.00","       1189.00","       1166.00","       1179.00","       1180.90","       1183.92","    3772972","          4466882845.35","     111046","    2220882","         58.86"
"HCLTECH","EQ","10-Feb-2022","       1180.90","       1184.95","       1191.90","       1174.10","       1190.15","       1190.35","       1184.45","    2053245","          2431972917.35","     106669","    1202738","         58.58"
"HCLTECH","EQ","11-Feb-2022","       1190.35","       1179.00","       1179.00","       1158.05","       1161.95","       1163.70","       1165.77","    3912397","          4560951120.00","     108734","    2714179","         69.37"
"HCLTECH","EQ","14-Feb-2022","       1163.70","       1135.35","       1164.35","       1133.60","       1141.05","       1146.45","       1151.96","    3243813","          3736752790.50","      86827","    1775136","         54.72"
"HCLTECH","EQ","15-Feb-2022","       1146.45","       1153.50","       1174.00","       1148.10","       1173.00","       1168.55","       1163.24","    3000492","          3490295462.80","     124581","    1720064","         57.33"
"HCLTECH","EQ","16-Feb-2022","       1168.55","       1178.00","       1182.65","       1160.00","       1164.80","       1167.80","       1170.98","    1885868","          2208319006.40","      80567","     921556","         48.87"
"HCLTECH","EQ","17-Feb-2022","       1167.80","       1174.00","       1174.00","       1160.00","       1161.90","       1163.05","       1166.30","    1644055","          1917455288.80","      52253","     783671","         47.67"
"HCLTECH","EQ","18-Feb-2022","       1163.05","       1152.85","       1170.10","       1150.10","       1165.60","       1165.00","       1160.52","    2166690","          2514478357.90","      58646","    1186112","         54.74"
"HCLTECH","EQ","21-Feb-2022","       1165.00","       1153.10","       1169.50","       1150.20","       1164.00","       1164.75","       1160.94","    1706058","          1980633912.15","      48258","     843155","         49.42"
"HCLTECH","EQ","22-Feb-2022","       1164.75","       1132.00","       1154.15","       1132.00","       1152.90","       1149.55","       1146.92","    3254855","          3733068563.10","     117879","    1910853","         58.71"
"HCLTECH","EQ","23-Feb-2022","       1149.55","       1156.00","       1159.00","       1148.05","       1151.00","       1153.00","       1153.42","    1937649","          2234926126.25","      59302","    1156511","         59.69"
"HCLTECH","EQ","24-Feb-2022","       1153.00","       1106.00","       1134.95","       1092.00","       1099.00","       1098.55","       1106.09","    5469084","          6049293188.90","     176157","    3668530","         67.08"
"HCLTECH","EQ","25-Feb-2022","       1098.55","       1115.60","       1141.00","       1115.00","       1131.35","       1129.70","       1132.07","    3213276","          3637643643.70","     121008","    1958649","         60.95"
"HCLTECH","EQ","28-Feb-2022","       1129.70","       1119.60","       1133.30","       1107.00","       1126.00","       1126.95","       1124.15","    4571884","          5139505921.60","     132686","    3016656","         65.98"
"HCLTECH","EQ","02-Mar-2022","       1126.95","       1124.65","       1124.65","       1109.00","       1114.00","       1115.55","       1114.89","    3867328","          4311635432.35","     147696","    2726839","         70.51"
"HCLTECH","EQ","03-Mar-2022","       1115.55","       1125.00","       1152.00","       1120.50","       1137.15","       1139.70","       1141.11","    3969380","          4529517582.00","     114308","    2399250","         60.44"
"HCLTECH","EQ","04-Mar-2022","       1139.70","       1128.00","       1154.85","       1122.65","       1139.95","       1138.45","       1141.58","    3522375","          4021074439.90","     152935","    2038595","         57.88"
"HCLTECH","EQ","07-Mar-2022","       1138.45","       1111.00","       1161.40","       1110.50","       1153.75","       1154.20","       1143.22","    5249845","          6001732268.25","     207700","    3057448","         58.24"
"HCLTECH","EQ","08-Mar-2022","       1154.20","       1156.00","       1179.60","       1155.00","       1172.95","       1175.30","       1170.63","    3805165","          4454423680.60","     186833","    1854217","         48.73"
"HCLTECH","EQ","09-Mar-2022","       1175.30","       1180.00","       1195.00","       1161.10","       1179.95","       1182.70","       1187.04","    3781326","          4488577495.40","     150570","    1974930","         52.23"
"HCLTECH","EQ","10-Mar-2022","       1182.70","       1198.20","       1198.20","       1175.00","       1190.90","       1192.15","       1186.24","    3834327","          4548441978.00","     174344","    2223024","         57.98"
