"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","03-Jan-2022","       1887.75","       1887.75","       1914.05","       1887.75","       1899.00","       1898.45","       1904.82","    3329616","          6342326137.50","     128107","    1973673","         59.28"
"INFY","EQ","04-Jan-2022","       1898.45","       1898.45","       1906.65","       1878.00","       1901.00","       1899.15","       1888.87","    3921999","          7408140297.05","     120603","    2372696","         60.50"
"INFY","EQ","05-Jan-2022","       1899.15","       1900.00","       1902.90","       1840.00","       1848.00","       1844.65","       1857.54","    6995719","         12994844600.20","     289755","    4414732","         63.11"
"INFY","EQ","06-Jan-2022","       1844.65","       1828.00","       1828.00","       1800.00","       1820.50","       1817.80","       1812.08","    6449205","         11686479371.10","     232721","    3508211","         54.40"
"INFY","EQ","07-Jan-2022","       1817.80","       1815.45","       1836.00","       1806.80","       1816.00","       1814.30","       1818.56","    4834389","          8791606623.05","     148117","    2754254","         56.97"
"INFY","EQ","10-Jan-2022","       1814.30","       1815.00","       1869.90","       1813.00","       1852.10","       1850.75","       1852.30","    7857560","         14554564594.35","     227924","    4191623","         53.35"
"INFY","EQ","11-Jan-2022","       1850.75","       1855.00","       1870.00","       1850.15","       1860.00","       1855.60","       1860.06","    5142287","          9564958557.25","     189308","    3368155","         65.50"
"INFY","EQ","12-Jan-2022","       1855.60","       1868.90","       1889.00","       1860.00","       1875.80","       1877.45","       1874.25","    5362535","         10050718588.00","     195948","    2936017","         54.75"
"INFY","EQ","13-Jan-2022","       1877.45","       1905.00","       1912.50","       1866.35","       1895.30","       1896.80","       1894.19","   14277630","         27044612998.40","     390078","    7175021","         50.25"
"INFY","EQ","14-Jan-2022","       1896.80","       1882.00","       1933.00","       1881.00","       1925.00","       1929.35","       1912.85","    7688506","         14706988627.30","     225842","    4088757","         53.18"
"INFY","EQ","17-Jan-2022","       1929.35","       1938.55","       1953.90","       1930.50","       1938.60","       1939.50","       1941.46","    5262464","         10216874399.25","     177946","    3092026","         58.76"
"INFY","EQ","18-Jan-2022","       1939.50","       1922.10","       1945.00","       1911.45","       1918.00","       1920.75","       1924.08","    3690315","          7100450832.40","     209492","    2370177","         64.23"
"INFY","EQ","19-Jan-2022","       1920.75","       1916.00","       1916.00","       1862.85","       1865.00","       1867.05","       1880.01","    5747770","         10805850965.55","     177957","    3909158","         68.01"
"INFY","EQ","20-Jan-2022","       1867.05","       1844.00","       1848.00","       1815.50","       1825.20","       1823.70","       1827.81","    5533463","         10114140157.35","     267078","    3214748","         58.10"
"INFY","EQ","21-Jan-2022","       1823.70","       1795.00","       1808.00","       1776.00","       1788.00","       1785.70","       1789.19","    8252758","         14765723986.90","     363701","    5524065","         66.94"
"INFY","EQ","24-Jan-2022","       1785.70","       1765.00","       1768.65","       1728.00","       1734.00","       1736.80","       1744.48","    7116712","         12414981412.50","     261123","    5168004","         68.09"
"INFY","EQ","25-Jan-2022","       1736.80","       1726.60","       1740.00","       1700.50","       1721.95","       1722.15","       1719.33","    9137653","         15710645707.40","     370958","    6214482","         68.01"
"INFY","EQ","27-Jan-2022","       1722.15","       1702.00","       1709.70","       1665.00","       1686.95","       1678.60","       1681.31","   11231734","         18884048987.00","     495160","    7723452","         68.76"
"INFY","EQ","28-Jan-2022","       1678.60","       1681.00","       1727.55","       1679.50","       1685.80","       1686.20","       1701.31","   10998502","         18711813888.65","     336935","    7661273","         69.66"
"INFY","EQ","31-Jan-2022","       1686.20","       1718.00","       1749.50","       1715.35","       1737.85","       1736.20","       1736.84","    8788872","         15264864508.80","     313682","    5882867","         66.94"
"INFY","EQ","01-Feb-2022","       1736.20","       1766.10","       1780.00","       1734.70","       1773.00","       1772.05","       1766.97","    5119935","          9046788138.40","     186159","    2894768","         56.54"
"INFY","EQ","02-Feb-2022","       1772.05","       1789.00","       1792.80","       1772.00","       1787.65","       1787.10","       1785.72","    4253717","          7595951820.00","     146941","    2786527","         65.51"
"INFY","EQ","03-Feb-2022","       1787.10","       1779.00","       1779.00","       1734.00","       1736.30","       1738.55","       1755.15","    3832922","          6727366646.30","     183506","    2209861","         57.65"
"INFY","EQ","04-Feb-2022","       1738.55","       1732.00","       1753.95","       1710.15","       1740.00","       1741.10","       1736.20","    4700077","          8160294996.20","     193857","    2276923","         48.44"
"INFY","EQ","07-Feb-2022","       1741.10","       1722.20","       1732.00","       1695.40","       1713.00","       1715.00","       1714.37","    4310209","          7389275044.25","     254813","    2500420","         58.01"
"INFY","EQ","08-Feb-2022","       1715.00","       1710.00","       1725.00","       1696.00","       1708.60","       1717.30","       1712.06","    6053401","         10363805939.55","     222044","    4052016","         66.94"
"INFY","EQ","09-Feb-2022","       1717.30","       1735.00","       1743.00","       1725.00","       1739.00","       1737.30","       1736.09","    3867244","          6713900255.40","     178730","    2358994","         61.00"
"INFY","EQ","10-Feb-2022","       1737.30","       1755.65","       1773.90","       1748.75","       1771.60","       1769.60","       1760.55","    4334630","          7631331627.45","     206904","    2830975","         65.31"
"INFY","EQ","11-Feb-2022","       1769.60","       1740.00","       1745.95","       1713.00","       1719.65","       1721.35","       1720.68","    7551371","         12993527942.15","     430200","    5283038","         69.96"
"INFY","EQ","14-Feb-2022","       1721.35","       1690.00","       1718.55","       1678.25","       1684.00","       1682.20","       1698.58","    7459637","         12670785135.65","     280769","    5340084","         71.59"
"INFY","EQ","15-Feb-2022","       1682.20","       1699.00","       1746.75","       1690.45","       1742.30","       1738.25","       1721.75","    4669915","          8040412171.15","     188794","    2821157","         60.41"
"INFY","EQ","16-Feb-2022","       1738.25","       1738.25","       1755.45","       1726.85","       1731.50","       1733.30","       1740.74","    5350642","          9314065942.90","     162198","    3844416","         71.85"
"INFY","EQ","17-Feb-2022","       1733.30","       1744.00","       1749.00","       1720.30","       1723.70","       1724.80","       1731.45","    3937950","          6818374503.70","     110732","    2479087","         62.95"
"INFY","EQ","18-Feb-2022","       1724.80","       1710.00","       1722.50","       1703.50","       1705.95","       1706.95","       1711.87","    5602215","          9590289595.60","     159019","    4009595","         71.57"
"INFY","EQ","21-Feb-2022","       1706.95","       1701.00","       1737.30","       1691.50","       1729.50","       1730.70","       1718.04","    5120890","          8797869134.30","     205567","    3280628","         64.06"
"INFY","EQ","22-Feb-2022","       1730.70","       1699.90","       1751.00","       1691.05","       1733.00","       1734.35","       1721.17","    8878515","         15281431404.90","     227885","    6148656","         69.25"
"INFY","EQ","23-Feb-2022","       1734.35","       1750.00","       1758.25","       1733.40","       1742.80","       1742.85","       1742.56","    5478811","          9547154732.20","     191067","    3712420","         67.76"
"INFY","EQ","24-Feb-2022","       1742.85","       1690.10","       1714.95","       1670.50","       1674.80","       1678.15","       1689.92","   13592379","         22970021733.65","     376409","    9349789","         68.79"
"INFY","EQ","25-Feb-2022","       1678.15","       1715.00","       1728.15","       1677.00","       1696.00","       1694.60","       1698.96","    9737281","         16543242534.40","     305050","    5913267","         60.73"
"INFY","EQ","28-Feb-2022","       1694.60","       1682.20","       1728.05","       1665.00","       1719.00","       1715.60","       1709.44","   15076542","         25772414334.90","     330427","    8905012","         59.07"
"INFY","EQ","02-Mar-2022","       1715.60","       1710.00","       1714.40","       1691.00","       1702.55","       1702.80","       1703.13","    6771489","         11532701358.80","     301403","    4673594","         69.02"
"INFY","EQ","03-Mar-2022","       1702.80","       1720.20","       1733.90","       1705.55","       1721.75","       1720.85","       1722.78","    7344147","         12652331996.15","     262571","    4775991","         65.03"
"INFY","EQ","04-Mar-2022","       1720.85","       1695.25","       1736.00","       1681.00","       1721.90","       1723.30","       1714.49","    9074499","         15558102517.75","     317226","    5315522","         58.58"
"INFY","EQ","07-Mar-2022","       1723.30","       1697.00","       1751.00","       1696.00","       1740.00","       1739.85","       1734.13","    9742588","         16894926797.50","     317768","    6671605","         68.48"
"INFY","EQ","08-Mar-2022","       1739.85","       1718.45","       1800.00","       1718.45","       1775.20","       1778.20","       1771.93","   10984500","         19463755936.50","     320286","    6670845","         60.73"
"INFY","EQ","09-Mar-2022","       1778.20","       1791.00","       1831.60","       1791.00","       1817.80","       1813.35","       1818.64","   10193515","         18538320340.55","     290276","    4998155","         49.03"
"INFY","EQ","10-Mar-2022","       1813.35","       1844.75","       1844.75","       1810.20","       1822.10","       1825.90","       1823.68","    6547182","         11939977607.05","     195637","    4239162","         64.75"
"INFY","EQ","11-Mar-2022","       1825.90","       1814.00","       1831.40","       1811.00","       1823.30","       1822.00","       1822.73","    4758657","          8673758339.50","     148439","    3194954","         67.14"
"INFY","EQ","14-Mar-2022","       1822.00","       1831.55","       1895.00","       1831.55","       1891.00","       1890.70","       1872.10","   10289724","         19263377771.20","     271878","    6666093","         64.78"
"INFY","EQ","15-Mar-2022","       1890.70","       1888.35","       1888.35","       1830.00","       1838.00","       1839.30","       1852.89","    7140443","         13230484534.10","     224849","    4846167","         67.87"
"INFY","EQ","16-Mar-2022","       1839.30","       1865.00","       1893.95","       1849.00","       1889.00","       1889.40","       1874.83","    5233979","          9812820161.45","     154465","    3133488","         59.87"
"INFY","EQ","17-Mar-2022","       1889.40","       1923.30","       1923.30","       1833.05","       1869.60","       1854.60","       1869.74","   17731459","         33153300056.80","     251465","   10858451","         61.24"
